MTS793|BTW|ENU|1|0|.|/|:|1|0|0|A

Data Header:                                                Time:     397.49658 Sec       3/3/2022 5:20:28 PM
Data Acquisition: Timed
Station Name: ftse.cfg
Test File Name: Default.tst
Time      Ch Disp.  Ch Force
Sec       in        kip
259.60938 -0.24390249 6.3173537
260.10938 -0.23974717 6.3385377
260.60938 -0.23559323 6.3914962
261.10938 -0.2314174 6.4596944
261.60938 -0.22728732 6.4990697
262.10938 -0.2230998 6.5291762
262.60938 -0.2189211 6.583004
263.10938 -0.21473488 6.6488748
263.60938 -0.21057707 6.6962433
264.10938 -0.20642771 6.726975
264.60938 -0.20224997 6.7718611
265.10938 -0.19809608 6.8361897
265.60938 -0.19390219 6.9009366
266.10938 -0.18973307 6.9401097
266.60938 -0.18559371 6.9761715
267.10938 -0.18140946 7.0386319
267.60938 -0.17723861 7.1111603
268.10938 -0.17310557 7.1747603
268.60938 -0.16889283 7.221211
269.10938 -0.16472201 7.2700796
269.60938 -0.16060865 7.3332977
270.10938 -0.15645358 7.4084859
270.60938 -0.15226091 7.4774299
271.10938 -0.1480967 7.5318036
271.60938 -0.14390977 7.5807414
272.10938 -0.13970575 7.6417718
272.60938 -0.13562016 7.7245255
273.10938 -0.1314539 7.8054991
273.60938 -0.12727974 7.8724413
274.10938 -0.12309898 7.9303536
274.60938 -0.11889887 7.9921765
275.10938 -0.11474846 8.0750504
275.60938 -0.11058135 8.169158
276.10938 -0.10641817 8.2449532
276.60938 -0.10224244 8.3040361
277.10938 -0.098102205 8.3843842
277.60938 -0.093896493 8.4659185
278.10938 -0.089798301 8.5689135
278.60938 -0.085612312 8.6518955
279.10938 -0.081414476 8.7321434
279.60938 -0.077271171 8.8031693
280.10938 -0.073071778 8.906229
280.60938 -0.068929859 9.0143566
281.10938 -0.064768672 9.10606
281.60938 -0.06060024 9.1995001
282.10938 -0.056422625 9.2845459
282.60938 -0.052274272 9.3933001
283.10938 -0.048075914 9.5105104
283.60938 -0.043898381 9.6269541
284.10938 -0.039797269 9.7218924
284.60938 -0.035598997 9.8228388
285.10938 -0.031415623 9.9381943
285.60938 -0.027254133 10.064515
286.10938 -0.023109397 10.191002
286.60938 -0.018934414 10.287827
287.10938 -0.014762363 10.411047
287.60938 -0.01059179 10.555121
288.10938 -0.0064173425 10.696915
288.60938 -0.0022468404 10.817443
289.10938 0.0018984058 10.937928
289.60938 0.0060729031 11.080852
290.10938 0.010208935 11.238851
290.60938 0.014404364 11.388065
291.10938 0.018585654 11.513886
291.60938 0.022687746 11.662086
292.10938 0.026894344 11.831654
